id,player,club,position,age,value,nationality,avatar_url
66,A. Munksgaard,AGF,Right-Back,22,800000,Denmark,images/profile_img/empty.jpg
67,J. Thorsteinsson,AGF,Left Wing,21,800000,Iceland,images/profile_img/empty.jpg
68,L. Parunashvili,Esbjerg,Left-Back,27,800000,Georgia,images/profile_img/empty.jpg
69,Y. Yakovenko,Esbjerg,Striker,26,800000,"France, Ukraine",images/profile_img/empty.jpg
70,M. Dauda,Esbjerg,Striker,22,800000,Ghana,images/profile_img/empty.jpg
71,B. Kadrii,Al Fateh,Striker,28,800000,"Denmark, North Macedonia",images/profile_img/empty.jpg
72,H. Hermannsson,Brøndby,Centre-Back,25,800000,Iceland,images/profile_img/empty.jpg
73,K. Mensah,Brøndby,Right-Back,28,800000,"Denmark, Ghana",images/profile_img/empty.jpg
74,M. Schwäbe,Brøndby,Goalkeeper,24,800000,Germany,images/profile_img/empty.jpg
75,S. Svendsen,OB,Striker,22,800000,Norway,images/profile_img/empty.jpg
76,S. Mráz,Brøndby,Striker,22,800000,Slovakia,images/profile_img/empty.jpg
77,J. Rinne,AaB,Goalkeeper,26,800000,Sweden,images/profile_img/empty.jpg
78,F. Børsting,AaB,Right Wing,25,800000,Denmark,images/profile_img/empty.jpg
79,M. Rygaard,Nordsjælland,Striker,28,700000,Denmark,images/profile_img/empty.jpg
80,M. Rasmussen,Nordsjælland,Left-Back,22,700000,Norway,images/profile_img/empty.jpg
81,K. Diks,AGF,Right Wing,23,700000,"Netherlands, Indonesia",images/profile_img/empty.jpg
82,D. Anyembe,Esbjerg,Right-Back,21,700000,"Denmark, Kenya",images/profile_img/empty.jpg
83,M. Thychosen,Nordsjælland,Right-Back,22,700000,Denmark,images/profile_img/empty.jpg
84,I. Sadiq,Nordsjælland,Left Wing,19,700000,Ghana,images/profile_img/empty.jpg
85,A. Mumin,Nordsjælland,Centre-Back,21,700000,Ghana,images/profile_img/empty.jpg
86,J. Amon,Nordsjælland,Striker,20,700000,USA,images/profile_img/empty.jpg
87,M. Amini,AGF,Left-Back,26,700000,"Australia, Afghanistan",images/profile_img/empty.jpg
88,C. Højer Nielsen,AGF,Left-Back,25,700000,Denmark,images/profile_img/empty.jpg
89,M. Egho,Randers,Striker,25,700000,Austria,images/profile_img/empty.jpg
90,P. Bengtsson,København,Left-Back,31,700000,Sweden,images/profile_img/empty.jpg
91,B. Oviedo,København,Left-Back,30,700000,Costa Rica,images/profile_img/empty.jpg
