id,player,club,position,age,value,nationality,avatar_url
294,M. Ørnskov,Lyngby,Left-Back,34,150000,Denmark,images/profile_img/empty.jpg
295,O. Villadsen,Nordsjælland,Right-Back,18,150000,Denmark,images/profile_img/empty.jpg
296,N. Gotfredsen,Hobro,Left-Back,31,150000,Denmark,images/profile_img/empty.jpg
297,Y. Samuel,Hobro,Left-Back,22,150000,"Ethiopia, USA",images/profile_img/empty.jpg
298,D. Obbekjær,OB,Centre-Back,17,150000,Denmark,images/profile_img/empty.jpg
299,K. Kristensen,AGF,Goalkeeper,20,150000,Denmark,images/profile_img/empty.jpg
300,M. Præst,Horsens,Striker,19,150000,Denmark,images/profile_img/empty.jpg
301,J. Tjørnelund,Hobro,Left-Back,28,150000,Denmark,images/profile_img/empty.jpg
302,B. Onkony,Hobro,Centre-Back,22,150000,"Switzerland, Congo DR",images/profile_img/empty.jpg
303,R. Carstensen,Silkeborg,Right-Back,19,150000,Denmark,images/profile_img/empty.jpg
304,S. Tengstedt,AaB,Left Wing,19,150000,Denmark,images/profile_img/empty.jpg
305,J. Thomsen,Randers,Right-Back,37,100000,Denmark,images/profile_img/empty.jpg
306,L. Klitten,AaB,Left Wing,19,100000,Denmark,images/profile_img/empty.jpg
307,L. Nielsen,Lyngby,Centre-Back,32,100000,Denmark,images/profile_img/empty.jpg
308,A. Heimer Hansen,Næstved,Attacking-Midfielder,22,100000,Denmark,images/profile_img/empty.jpg
309,J. Mortensen,Esbjerg,Right-Back,19,100000,Denmark,images/profile_img/empty.jpg
310,P. Nymann,Horsens,Right-Back,37,100000,Denmark,images/profile_img/empty.jpg
311,N. Nurmi,Inter Turku,Defensive-Midfielder,19,100000,Finland,images/profile_img/empty.jpg
312,H. Mahdi Hussein,Hobro,Striker,20,100000,Denmark,images/profile_img/empty.jpg
313,T. Mikkelsen,Lyngby,Goalkeeper,36,100000,Denmark,images/profile_img/empty.jpg
314,M. Frese,Nordsjælland,,21,50000,Denmark,images/profile_img/empty.jpg
315,T. Chukwuani,Nordsjælland,Defensive-Midfielder,16,50000,Denmark,images/profile_img/empty.jpg
316,S. Jørgensen,Silkeborg,Right Wing,19,50000,Denmark,images/profile_img/empty.jpg
317,O. Haurits,Næstved,Striker,19,50000,Denmark,images/profile_img/empty.jpg
318,R. Kakeeto,AaB,Defensive-Midfielder,24,50000,Uganda,images/profile_img/empty.jpg
319,E. Tekşen,Lyngby,Left Wing,19,25000,Denmark,images/profile_img/empty.jpg
320,A. Ben Slimane,Brøndby,Left-Back,18,25000,Denmark,images/profile_img/empty.jpg
321,L. Deedson,Hobro,Left-Back,18,0,"Haiti, USA",images/profile_img/empty.jpg
322,S. Piesinger,Randers,Centre-Back,27,0,Austria,images/profile_img/empty.jpg
323,D. Flinta,Silkeborg,Centre-Back,36,0,Denmark,images/profile_img/empty.jpg
324,M. Hansen,SønderjyskE,Attacking-Midfielder,18,0,Denmark,images/profile_img/empty.jpg
325,E. Kornvig,Lyngby,Attacking-Midfielder,19,0,Denmark,images/profile_img/empty.jpg
326,M. Hyllegaard,OB Res.,Striker,20,0,Denmark,images/profile_img/empty.jpg
